obs_id,date,pm25,pm10,o3,no2,so2,env_index,Car_7-9,Van_7-9,Bus_7-9,Minibus_7-9,Truck_7-9,3Cycle_7-9,Car_9-17,Van_9-17,Bus_9-17,Minibus_9-17,Truck_9-17,3Cycle_9-17,Car_17-19,Van_17-19,Bus_17-19,Minibus_17-19,Truck_17-19,3Cycle_17-19,avg_ridership_monthly,avg_ridership_workday_monthly,TCI,tempmax,tempmin,temp,temp_calib,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,rain,windgust,windspeed,windspeedmax,windspeedmean,windspeedmin,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,conditions,weekend,seasons,holiday
1623,6/10/2024,40,21,10,,,0.411697032,16651,2689,419,1,87,65,61953,14287,1876,8,835,255,16553,3068,396,0,121,51,,,,31.9,28.4,29.8,29.80357243,38.3,32,34.4,23.6,69.5,0.002,100,4.17,TRUE,57.2,16.2,16.2,8.2,2,224.4,1006.5,59.9,10,107.9,9.2,4,0.12,"Rain, Partially cloudy",FALSE,Rainy,
1624,6/11/2024,49,23,11,,,0.469053985,4492,948,86,1,37,171,17037,4197,444,7,186,589,4944,1178,140,4,14,79,,,,33.1,28.4,30,30.02317859,40.3,32.1,35.2,24.1,70.8,0.097,100,4.17,TRUE,36,13.3,13.3,7.4,2.6,186.3,1008.3,50.6,9.9,160.6,13.8,8,0.15,"Rain, Partially cloudy",FALSE,Rainy,No
1625,6/12/2024,46,29,9,,,0.927436413,8259,3125,191,11,200,19,27919,13982,748,14,2683,72,8695,3043,196,6,278,29,,,,33.5,27.8,29.7,29.68408026,40.6,31.9,35.1,24.5,74.4,9.738,100,12.5,TRUE,43.9,14.1,14.1,6.4,1.8,219.7,1009.9,48,9.9,185.8,16.1,7,0.18,"Rain, Partially cloudy",,Rainy,No
1626,6/13/2024,63,29,9,,,0.166803906,15924,4431,321,27,237,132,54151,17467,979,81,1393,644,15123,4260,207,23,184,165,,,,35.1,27,31,30.98273838,45.2,30.1,37.6,25,71.2,0,0,0,FALSE,37.4,10.8,10.8,6.7,0.7,203.4,1008.8,38.1,10,195.4,16.9,9,0.22,Partially cloudy,FALSE,Rainy,
1627,6/14/2024,58,30,9,,,0.767649483,,,,,,,,,,,,,,,,,,,,,,35.1,27.9,31.4,31.39378778,45.4,31.1,38.2,25,70.1,0.744,100,8.33,,33.5,12,12,6.4,0.7,214.9,1006.7,38.2,9.9,220.1,19.1,9,,"Rain, Partially cloudy",FALSE,Rainy,No
1628,6/15/2024,64,22,10,1,,0.681266232,,,,,,,,,,,,,,,,,,,,,,36.2,27.6,31.7,31.72541096,46.3,30.7,38.2,24.7,67.4,0.006,100,8.33,TRUE,29.5,11.8,11.8,6.5,0.8,261.2,1005.9,34.3,10,215.9,18.6,,0.28,"Rain, Partially cloudy",TRUE,Rainy,Yes
1629,6/16/2024,59,23,10,,,0.880319491,,,,,,,,,,,,,,,,,,,,,,36.8,27.9,31.9,31.90275207,47.3,31,38.3,24.4,65.7,0,0,0,FALSE,27.4,13.4,13.4,8,3.8,266,1006.4,35,10.1,238.1,20.6,,0.31,Partially cloudy,TRUE,Rainy,Yes
1630,6/17/2024,57,30,15,,1,0.181732987,8329,2240,187,24,150,86,28247,11872,728,96,2093,252,7951,3118,200,14,146,58,,,,34.6,25.5,29.7,29.68610748,44.8,25.5,34.9,25,76.8,14.049,100,33.33,TRUE,29.9,10.5,10.5,5.9,1,203.7,1007.2,49.1,9.8,188.3,16.3,8,0.34,"Rain, Partially cloudy",FALSE,Rainy,No
1631,6/18/2024,63,28,27,,1,0.281185255,8838,2756,26,0,173,106,29764,11790,144,2,684,450,8108,2840,37,0,79,142,,,,35.2,26.5,30.5,30.51038747,45,26.5,35.6,24.2,70.4,0,0,0,TRUE,34.2,10.8,10.8,6.4,2.1,213.8,1006.6,35.7,10,230.1,19.8,-15.4830992,0.38,Partially cloudy,FALSE,Rainy,No
1632,6/19/2024,62,21,8,,2,0.685482922,5607,1241,215,7,36,512,18834,6709,1033,16,463,1891,4916,1482,206,8,65,542,,,,35.7,27.5,31.1,31.09428735,45.6,30.2,37,24.4,69,3.292,100,16.67,TRUE,55.4,13.3,13.3,6.6,1,231,1006,42.1,9.8,265,23,9,0.41,,FALSE,Rainy,No
