obs_id,date,daily_ktCO2,pm25,pm10,o3,no2,so2,env_index,Car_7-9,Van_7-9,Bus_7-9,Minibus_7-9,Truck_7-9,3Cycle_7-9,Car_9-17,Van_9-17,Bus_9-17,Minibus_9-17,Truck_9-17,3Cycle_9-17,Car_17-19,Van_17-19,Bus_17-19,Minibus_17-19,Truck_17-19,3Cycle_17-19,avg_ridership_monthly,avg_ridership_workday_monthly,TCI,tempmax,tempmin,temp,temp_calib,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,rain,windgust,windspeed,windspeedmax,windspeedmean,windspeedmin,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,conditions,weekend,seasons,holiday
1,1/1/2020,42.471115,74,46,11,15,,0.506768277,,,,,,,,,,,,,,,,,,,397,443,12.7,32.4,25.2,28.8,28.79933561,35.3,25.2,30,19.9,59.9,0,0,0,FALSE,40.7,25,25,10.9,1.5,72.9,1015.6,47.4,9.9,113.1,9.9,5,0.19,Partially cloudy,FALSE,,Yes
2,1/2/2020,44.128139,93,52,12,18,,0.673506714,,,,,,,,,,,,,,,,,,,,,8.04,32.8,24.5,28.5,28.48408907,36.2,24.5,29.9,20.2,61.9,0,0,0,FALSE,38.9,25.4,25.4,10.1,0.9,63.1,1016.4,34.4,10,82.6,7.2,3,0.22,Partially cloudy,FALSE,Cool,No
3,1/3/2020,44.960525,102,56,16,18,,0.440693179,,,,,,,,,,,,,,,,,,,,,16.38,33.5,24.2,28.7,28.73325504,37.5,24.2,30.1,20.5,62.4,0,0,0,FALSE,38.9,17.9,17.9,7.5,0.5,74.2,1014.6,35.5,9.8,88.8,7.8,3,0.25,Partially cloudy,FALSE,Cool,No
4,1/4/2020,44.52426,121,61,15,17,,0.109701984,,,,,,,,,,,,,,,,,,,,,13.17,33.3,23.7,28.7,28.70351695,36.5,23.7,30.1,20.6,63,0,0,0,FALSE,25.9,17.9,17.9,6.6,0.2,73.7,1012.6,30.4,9.9,85.3,7.3,3,0.29,,,Cool,Yes
5,1/5/2020,44.428186,130,66,14,27,,0.643136641,,,,,,,,,,,,,,,,,,,,,9,33.6,25,28.9,28.89265072,36,25,30.2,19.9,59.4,0,0,0,FALSE,30.6,19.5,19.5,8.2,0.8,94.5,1012.6,31.6,9.7,88.7,7.5,3,0.32,Partially cloudy,,Cool,Yes
6,1/6/2020,46.769288,135,69,15,22,,0.502581072,,,,,,,,,,,,,,,,,,,,,32.68,34.1,24.5,29.1,29.11093515,36.9,24.5,30,20,60.4,0,0,0,FALSE,35.3,17.5,17.5,6.2,0,89.1,1012.6,29.5,9.5,90.6,7.8,3,3.390925542,,FALSE,Cool,No
7,1/7/2020,47.769885,139,71,13,22,,0.882874792,,,,,,,,,,,,,,,,,,,,,54.94,35,23.5,29.3,29.29737174,36.8,23.5,30.2,19.9,61.1,0,0,0,FALSE,31.7,14.3,14.3,6.5,0.6,106.5,1011.9,20,8.5,90.3,7.7,,0.38,Clear,,Cool,No
8,1/8/2020,47.848168,149,70,18,21,,0.17147525,,,,,,,,,,,,,,,,,,,,,52.62,34.4,24.7,29.3,29.29271155,37.2,24.7,30.9,21.3,64.9,0,0,0,FALSE,37.1,17.9,17.9,7.1,0.7,83.8,1011.3,16.1,8,82,7,3,0.42,Clear,,Cool,No
9,1/9/2020,47.602928,140,93,13,30,,0.039954679,,,,,,,,,,,,,,,,,,,,,54.94,34.8,26,30.3,30.28480241,38.9,26,32.7,21.8,62.9,0,0,0,FALSE,23.8,15.7,15.7,5.9,0.5,60.9,1010.7,25.7,8.2,86.5,7.4,3,0.45,Partially cloudy,FALSE,Cool,No
10,1/10/2020,48.42795,180,64,16,14,,0.701305434,,,,,,,,,,,,,,,,,,,,,50.4,35,26.2,30.3,30.3064618,39.8,26.2,33.6,22.4,64.1,0,0,0,,16.9,11.2,11.2,5.3,0.2,92.3,1009.7,34.6,7.9,65,5.6,3,0.48,Partially cloudy,FALSE,Cool,No
11,1/11/2020,47.169304,138,56,15,10,,0.865328147,,,,,,,,,,,,,,,,,,,,,20.51,34,26.4,29.5,29.50278765,39.5,26.4,34.2,24.4,75.3,15.57,100,4.17,TRUE,21.6,13.9,13.9,7.6,0.9,160,1009.7,35,7.3,54.4,4.7,2,0.5,"Rain, Partially cloudy",,Cool,Yes
12,1/12/2020,46.196466,120,56,12,12,,0.479982747,,,,,,,,,,,,,,,,,,,,,12.5,34,26,29.4,29.41540686,42.1,26,33.9,24.4,76.2,0,0,0,FALSE,23,13,13,7.9,0.8,150.4,1009.4,39.3,7.8,67.5,5.9,2.974818481,,,TRUE,Cool,Yes
13,1/13/2020,48.664217,116,56,11,12,,0.354721348,,,,,,,,,,,,,,,,,,,,,29.46,32.5,23.7,28.7,28.70061659,39.2,23.7,32.4,24,76.8,1.932,100,4.17,,29.5,17.7,17.7,8.1,0.1,142.1,1009.7,41.9,8,62.6,5.5,2,0.59,"Rain, Partially cloudy",FALSE,Cool,
14,1/14/2020,49.071417,112,61,13,15,,0.896944819,,,,,,,,,,,,,,,,,,,,,49.08,33,26,28.6,28.60636385,37.3,26,31.6,23.6,75.9,0.1,100,4.17,TRUE,27.4,12.5,12.5,7.2,1.1,165.3,1011,36.6,7.8,75.1,6.5,3,0.62,"Rain, Partially cloudy",FALSE,Cool,No
15,1/15/2020,49.639228,122,67,15,13,,0.795080192,,,,,,,,,,,,,,,,,,,,,44.22,33,25.2,28.8,28.80400156,37.8,25.2,31.5,23.2,73.6,0,0,0,FALSE,20.2,12.5,12.5,6.1,0.6,141.5,1011.3,39.1,8,60.1,5.2,2,0.671056053,Partially cloudy,FALSE,Cool,No
16,1/16/2020,49.341201,127,70,19,15,,0.475126571,,,,,,,,,,,,,,,,,,,,,45.23,33.7,25.7,28.8,28.80358356,37.3,25.7,31.7,23.2,73.7,0,0,0,FALSE,19.4,14.3,14.3,6.3,0.3,172.2,1011.8,36,7.7,84.9,7.2,4,0.69,,FALSE,CoOL,No
17,1/17/2020,48.852637,143,74,12,11,,0.337912963,,,,,,,,,,,,,,,,,,,,,49.32,34,25.2,29.1,29.09544354,40.4,25.2,32.3,23.4,73.3,0,0,0,FALSE,22.7,13,13,6.7,0.5,162.8,1012.3,39.2,7.5,72.5,6.2,3,0.75,Partially cloudy,FALSE,Cool,
18,1/18/2020,47.723688,162,72,18,11,,0.509866208,,,,,,,,,,,,,,,,,,,,,21.57,33,25.7,28.8,28.8090869,39,25.7,32.3,24.2,77.6,0,0,0,FALSE,31.7,11.2,11.2,5.9,0.4,147.1,1011.7,38.3,6.6,71.1,6.1,3,0.76,Partially cloudy,TRUE,COol,Yes
19,1/19/2020,46.535343,159,76,17,16,,0.13810336,,,,,,,,,,,,,,,,,,,,,9.84,33.2,26.2,29.3,29.3062992,40,26.2,33.4,24.2,75.4,0,0,0,FALSE,29.5,10.7,10.7,5.9,0.7,147.3,1012,34.5,7.1,71.4,6.1,3,0.8,Partially cloudy,TRUE,Cool,Yes
20,1/20/2020,48.343947,163,67,16,14,,0.589514823,,,,,,,,,,,,,,,,,,,,,33.45,32.7,26,29.1,29.09141864,37.5,26,32.5,23.3,72.1,0.05,100,4.17,TRUE,26.6,14.3,14.3,6.1,1.3,106.3,1013.1,43.7,6.9,68.3,5.9,3,0.83,"Rain, Partially cloudy",FALSE,Cool,
21,1/21/2020,48.962125,147,63,12,16,,0.639813952,,,,,,,,,,,,,,,,,,,,,40.87,33.2,25.5,29,29.01291543,39.6,25.5,32.4,23.6,73.9,0,0,0,FALSE,20.5,13.4,13.4,6.5,0.4,136.6,1014.5,41.9,7.1,68.6,5.7,3,0.87,Partially cloudy,FALSE,Cool,No
22,1/22/2020,48.681217,124,58,9,10,,0.183589669,,,,,,,,,,,,,,,,,,,,,47.88,34,26,29.3,29.31027773,39.6,26,33.3,24.2,75.5,0,0,0,FALSE,16.9,14.3,14.3,5.4,0.2,194,1013.4,44.3,7.4,66.9,5.8,3,0.9,Partially cloudy,FALSE,Cool,No
23,1/23/2020,49.237227,115,48,7,8,,0.646847216,,,,,,,,,,,,,,,,,,,,,40.37,33.7,26.7,29.5,29.49368719,39.9,30,34.1,24.2,74.4,0,0,0,,23.8,20.9,20.9,10.2,3,185.4,1011.9,34.5,7.9,110.6,9.7,6,0.94,Partially cloudy,FALSE,Cool,nO
24,1/24/2020,48.744142,84,39,10,5,,0.500844127,,,,,,,,,,,,,,,,,,,,,38.18,33.7,26,29.5,29.50241879,39,26,34,24.2,74.5,0,0,0,FALSE,30.2,21.9,21.9,10.9,0.6,182.2,1011.6,37,8.9,90.8,7.8,3,0.98,Partially cloudy,FALSE,Cool,No
25,1/25/2020,47.641667,69,33,7,7,,0.428093151,,,,,,,,,,,,,,,,,,,,,15.92,32.7,26.6,29.1,29.09463072,38.3,26.6,33.2,23.9,74.4,0,0,0,FALSE,40,25,25,14.6,3.2,193.3,1010.4,37.8,9.2,76.9,6.7,3,-2.417551648,Partially cloudy,TRUE,Cool,Yes
26,1/26/2020,46.475837,62,40,10,10,,0.25209313,,,,,,,,,,,,,,,,,,,,,10.2,33.7,26.4,29.3,29.29730308,37.2,26.4,32.2,22.2,67.5,0,0,0,FALSE,38.9,19.4,19.4,10.2,2.6,194.6,1009.5,33.5,9.4,102.7,8.7,3,0.04,,TRUE,Cool,yEs
27,1/27/2020,47.891002,81,47,13,12,,0.226665377,,,,,,,,,,,,,,,,,,,,,30.11,33.7,24.2,28.9,28.899049,35.6,24.2,30.5,19.7,60.8,0,0,0,FALSE,33.5,23.2,23.2,12.3,1,206.1,1009,28.2,9.4,104.5,9,-15.4830992,0.07,Partially cloudy,FALSE,Cool,nO
28,1/28/2020,49.068328,101,49,20,16,,0.210186029,,,,,,,,,,,,,,,,,,,,,40.9,32.7,23.7,28.1,28.10131795,35.4,23.7,29.4,19.1,59.8,0.071,100,4.17,TRUE,27,20.5,20.5,9.7,0.9,228.5,1010.2,26.6,9.4,106.8,9.2,3,0.11,"Rain, Partially cloudy",FALSE,Cool,no
29,1/29/2020,48.825856,104,56,21,15,,0.275697867,,,,,,,,,,,,,,,,,,,,,34.99,33,24,28.5,28.48676768,35.9,24,29.6,20.6,65,0,0,0,FALSE,15.5,12.5,12.5,6.9,1.6,180.8,1012,32,9.1,81.1,7,3,0.14,Partially cloudy,FALSE,,No
30,1/30/2020,49.134381,110,68,19,13,,0.904359212,,,,,,,,,,,,,,,,,,,,,37.17,32.4,24,28,27.98280108,35.3,24,29,19.7,62,0,0,0,FALSE,37.1,13.9,13.9,8.2,0.7,96.5,1011.9,34.6,9.2,81.5,7,3,0.17,Partially cloudy,FALSE,Cool,No
31,1/31/2020,49.338331,138,88,27,17,,0.965198828,,,,,,,,,,,,,,,,,,,,,46.58,32.5,23.2,27.3,27.28946872,34.2,23.2,27.9,17.6,56.2,0,0,0,,44.6,22.8,22.8,10,1.9,100.9,1012.7,29.8,8.8,88.5,7.7,3,,Partially cloudy,FALSE,Cool,NO
32,2/1/2020,48.345917,161,85,25,14,,0.050906861,,,,,,,,,,,,,,,,,,,364,423,15.41,32.7,22.7,27.5,27.50915628,35.6,22.7,28.2,18.6,59.7,0,0,0,FALSE,28.8,23.7,23.7,8.7,0.8,105.3,1013,19.3,8.1,87.8,7.4,3,0.24,Clear,TRUE,Cool,Yes
33,2/2/2020,46.910937,162,80,22,13,,0.803262503,,,,,,,,,,,,,,,,,,,,,12.69,33.6,23.2,28.2,28.20153022,36.7,23.2,29.5,20.9,67.3,0,0,0,FALSE,23.8,14.8,14.8,5.6,0,108.7,1014,33.4,7.5,80.2,6.8,,0.25,Partially cloudy,TRUE,Cool,Yes
34,2/3/2020,47.88354,159,71,17,10,,0.917110686,,,,,,,,,,,,,,,,,,,,,37.68,33.5,24.2,28.2,28.19820817,37.7,24.2,30.5,22.9,74.5,0,0,0,FALSE,29.5,17.5,17.5,7.4,0.5,177,1013,35.4,6.8,78.8,6.6,3,,Partially cloudy,FALSE,Cool,No
35,2/4/2020,48.623329,145,58,17,10,,0.159424487,,,,,,,,,,,,,,,,,,,,,32.6,32.7,25.5,28.5,28.47409475,36.6,25.5,31,22.9,73.4,0,0,0,FALSE,31,16.7,16.7,8.9,0.5,182.6,1012.1,40,7.8,79.1,6.8,3,0.33,,FALSE,Cool,No
36,2/5/2020,48.922812,109,48,14,8,,0.072105048,,,,,,,,,,,,,,,,,,,,,46.66,33.7,25.2,28.8,28.79199241,36.7,25.2,31.2,22.3,69.9,0,0,0,FALSE,37.1,19.8,19.8,9.9,1.8,176.6,1011.5,36.2,8.6,93.5,8,-15.4830992,0.37,Partially cloudy,FALSE,Cool,No
37,2/6/2020,48.616743,91,59,18,13,,0.037406508,,,,,,,,,,,,,,,,,,,,,36.95,33.5,25,28.8,28.8011961,37.6,25,31.8,23.2,73.2,0,0,0,FALSE,29.2,17.6,17.6,8.5,1.4,194.1,1012.3,37.7,9.1,82.3,7.2,2.839119816,0.4,parTialLy CloUdY,FALSE,Cool,No
38,2/7/2020,48.073208,108,59,22,11,,0.563529744,,,,,,,,,,,,,,,,,,,,,54.32,33.7,25.2,29.1,29.10456642,39.2,25.2,32.2,23.2,72.4,0,0,0,FALSE,27.4,13,13,6.1,0.7,185.8,1012.9,39.3,8.4,80.5,6.9,3,0.43,,FALSE,,No
39,2/8/2020,47.199977,118,72,16,14,,0.010560246,,,,,,,,,,,,,,,,,,,,,8.45,33.7,25,29,29.01920481,38.2,25,31.7,23.4,74,0,0,0,FALSE,29.5,14.3,14.3,6.4,0.2,138.3,1013.3,33.7,8.1,73.7,6.4,2,0.46,Partially cloudy,TRUE,Cool,Yes
40,2/9/2020,46.063183,138,75,19,13,,0.50456036,,,,,,,,,,,,,,,,,,,,,6.66,33.4,25,28.9,28.89712194,36.1,25,30.6,21.5,67.5,0,0,0,FALSE,32.8,15.2,15.2,7.1,0.7,58.6,1013.9,37,8,84.7,7.4,3,0.5,Partially cloudy,TRUE,Cool,Yes
41,2/10/2020,48.573738,138,71,22,15,,0.331181003,,,,,,,,,,,,,,,,,,,,,7.03,33.3,25,29,28.99988457,35.7,25,29.9,18.4,53.5,0,0,0,FALSE,37.1,24.1,24.1,9.2,1.3,74,1013.6,43.8,9.1,89,7.7,3,0.53,Partially cloudy,FALSE,Cool,Yes
42,2/11/2020,49.77603,154,58,13,9,,0.252497782,,,,,,,,,,,,,,,,,,,,,33.12,35.2,27.2,30.6,30.60086552,38,28.5,32.4,19.6,52.7,0,0,0,FALSE,33.5,13,13,7.4,0.9,110.1,1013.3,45.8,8.6,85.3,7.5,3,0.57,Partially cloudy,,Cool,No
43,2/12/2020,49.955074,126,32,7,5,,0.442369797,,,,,,,,,,,,,,,,,,,,,25.94,33.7,26.7,29.5,29.49184554,39.5,29.5,34,23.9,72.7,0,0,0,FALSE,34.9,22.3,22.3,11.2,0.7,187.7,1012.9,35.9,9.1,93.3,7.9,3,0.6,Partially cloudy,FALSE,Cool,No
44,2/13/2020,49.469611,58,29,6,5,,0.323900755,,,,,,,,,,,,,,,,,,,,,32.06,34.5,26.7,29.7,29.69228248,40.2,29.6,34,23.7,71.3,0,0,0,FALSE,37.1,21.9,21.9,13.8,1.4,194,1011.8,37.2,9.7,101.5,8.6,,0.64,Partially cloudy,FALSE,Cool,No
45,2/14/2020,48.899885,55,37,10,8,,0.619552366,,,,,,,,,,,,,,,,,,,,,62.03,33.7,27,29.7,29.70287904,37.8,30.5,34,23.8,72.1,0,0,0,FALSE,44.6,27.7,27.7,14.9,1.6,189.6,1009.8,37.1,9.7,105.4,9,4,0.67,Partially cloudy,FALSE,Cool,
46,2/15/2020,47.456829,75,26,8,7,,0.505269063,,,,,,,,,,,,,,,,,,,,,14.64,34.7,25.6,29.4,29.40536792,36.3,25.6,30.9,19.6,59.8,0,0,0,FALSE,28.4,20.5,20.5,12.3,1.7,206.6,1010.7,20.4,9.6,115,9.9,4,0.71,Partially cloudy,TRUE,Cool,yes
47,2/16/2020,46.477651,58,38,13,10,,0.130002848,,,,,,,,,,,,,,,,,,,,,7.12,35,25.2,29.6,29.59107798,35.3,25.2,31.2,20.2,61.6,0,0,0,FALSE,28.8,16.7,16.7,8.9,0.4,178.5,1012,27.7,9.5,120,10.2,4.193973523,0.75,Partially cloudy,TRUE,Cool,Yes
48,2/17/2020,49.085238,73,62,15,11,,0.005727995,,,,,,,,,,,,,,,,,,,,,26.16,35.7,24,29.4,29.40810838,40.5,24,32.2,22.5,69,0,0,0,,33.5,15.7,15.7,7.9,0.9,146,1012.8,31.1,9.5,100.5,8.6,3,0.78,Partially cloudy,FALSE,,No
49,2/18/2020,49.541165,118,81,21,17,,0.654429207,,,,,,,,,,,,,,,,,,,,,27.19,32,26,28.9,28.9016552,33.6,26,30.4,19.9,60.1,0.066,100,12.5,TRUE,46.4,25.5,25.5,11.5,1.8,95.3,1014.1,42.9,9.1,75.8,6.6,3,0.810478042,"Rain, Partially cloudy",FALSE,Cool,No
50,2/19/2020,49.22681,149,86,18,19,,0.736216115,,,,,,,,,,,,,,,,,,,,,23.5,33.8,23.5,28.9,28.90225141,35.8,23.5,29.5,17.4,50.9,0,0,0,FALSE,32.4,22.8,22.8,8.7,0.5,78.2,1014.6,34.3,9.4,93,7.9,,0.85,Partially cloudy,FALSE,Cool,No
51,2/20/2020,48.338607,167,79,18,14,,0.159677632,,,,,,,,,,,,,,,,,,,,,25.25,34.3,25.2,29.7,29.69378863,35.9,25.2,30.4,18.9,55.3,0,0,0,FALSE,50,26,26,9.8,0.5,88.8,1014.1,23.4,8.4,96.3,8.3,3,0.88,Partially cloudy,FALSE,Cool,No
52,2/21/2020,48.253273,154,82,17,13,,0.157030551,,,,,,,,,,,,,,,,,,,,,40.67,34,23.5,29,29.00207398,34.4,23.5,29.3,16.6,48.7,0,0,0,FALSE,42.8,25.9,25.9,11.7,1.7,78.4,1015.9,14.1,9,97.6,8.5,3,0.91,Clear,FALSE,Cool,No
53,2/22/2020,47.088693,150,80,21,14,,0.213294976,,,,,,,,,,,,,,,,,,,,,14.78,34,25,29.2,29.21160705,34.7,25,29.5,16.3,46.6,0,0,0,FALSE,45,30.7,30.7,13.2,1.2,65.7,1016.2,32.1,9.3,96,8.4,3,0.95,Partially cloudy,TRUE,Cool,Yes
54,2/23/2020,45.804291,151,87,21,19,,0.118588294,,,,,,,,,,,,,,,,,,,,,5.47,34,24.5,29,29.00334353,33.8,24.5,29.4,16.9,48.9,0,0,0,FALSE,40.7,25,25,10.2,0.8,68.1,1015.2,22.8,8.7,100.5,8.7,3,0,,TRUE,Cool,Yes
55,2/24/2020,48.510096,166,89,25,13,,0.798305892,,,,,,,,,,,,,,,,,,,,,23.17,34.8,25,29.6,29.58200265,35.8,25,29.8,16.5,47.1,0,0,0,,34.9,22.3,22.3,8,0.6,108.2,1013.1,24.8,8.7,101.4,8.7,,0.02,Partially cloudy,FALSE,Cool,No
56,2/25/2020,49.367046,164,73,20,10,,0.484515562,,,,,,,,,,,,,,,,,,,,,24.88,34.7,24.5,29,28.99225374,39.6,24.5,30.9,21.2,65.9,0,0,0,FALSE,25.2,16.1,16.1,7.5,0.3,151.4,1011.6,31.4,7.2,79.4,6.8,3,0.05,Partially cloudy,FALSE,Cool,No
57,2/26/2020,49.20919,145,75,11,17,,0.955700718,,,,,,,,,,,,,,,,,,,,,33.34,35.5,25.2,29.4,29.39970867,40.8,25.2,32.9,23.4,72.4,0,0,0,FALSE,23.8,18.9,18.9,8.5,0.6,173.7,1011.7,40.9,7.7,82,7.1,3,0.08,pARTIaLLy CLoUdy,FALSE,,No
58,2/27/2020,49.137979,140,50,13,9,,0.026157646,,,,,,,,,,,,,,,,,,,,,30.51,32.2,26.2,28.8,28.81451834,39.8,26.2,32.7,23.9,76,25.114,100,4.17,TRUE,27,17.5,17.5,7.3,0.5,217.7,1011,46.8,7.6,47.1,4,,0.12,"Rain, Partially cloudy",FALSE,Cool,No
59,2/28/2020,48.455266,104,49,12,9,,0.044818172,,,,,,,,,,,,,,,,,,,,,32.53,33,27,29,29.00275358,38.1,29.5,33.3,24,75.4,0.07,100,4.17,TRUE,29.5,25.5,25.5,10.4,0.4,166.8,1010.4,46,8.4,69.3,5.9,3,0.15,"Rain, Partially cloudy",FALSE,Cool,No
60,2/29/2020,47.142801,96,51,13,6,,0.344799597,,,,,,,,,,,,,,,,,,,,,9.59,33.7,26,29,28.98189117,38.7,26,32.1,23.4,72.8,0,0,0,FALSE,29.5,19.4,19.4,9,1,179.7,1010.1,45.1,9,98.7,8.4,3,0.18,,,Cool,Yes
61,3/1/2020,46.395184,91,47,12,6,,0.419627842,,,,,,,,,,,,,,,,,,,234,279,6.67,34.5,26.9,29.9,29.90230256,40.3,30,34.4,23.8,71.1,0,0,0,FALSE,25.2,20,20,9.7,0.1,187.6,1010.2,35.8,9.5,93.5,8,4,0.22,,TRUE,Hot,Yes
62,3/2/2020,48.413646,91,33,9,4,,0.953333074,,,,,,,,,,,,,,,,,,,,,17.75,34.5,27.4,30,29.9815575,40,31,34.7,24,71.3,0,0,0,FALSE,36.7,23.2,23.2,12.5,1.6,190,1009.9,36.1,9.5,103,8.8,,0.25,Partially cloudy,FALSE,Hot,No
63,3/3/2020,49.097053,66,29,4,5,,0.506026999,,,,,,,,,,,,,,,,,,,,,22,34.5,27.3,30.2,30.19322005,40.1,31.4,35,24,70.9,0,0,0,FALSE,38.5,24.6,24.6,15.1,2.2,186.3,1010.1,34.3,9.5,115.6,9.8,4,0.25,Partially cloudy,FALSE,Hot,No
64,3/4/2020,49.097343,56,31,5,6,,0.87371966,,,,,,,,,,,,,,,,,,,,,23.03,34.5,27.2,30.2,30.21008899,40.7,30.4,34.7,23.5,68.6,0,0,0,FALSE,34.2,22.3,22.3,13.8,3.4,195.7,1010.3,38.7,9.4,150.9,13.1,6,0.32,Partially cloudy,FALSE,,No
65,3/5/2020,48.898071,63,30,5,5,,0.890485695,,,,,,,,,,,,,,,,,,,,,25.67,34.7,26.2,30.2,30.21088252,40.4,26.2,34.8,23.9,70.5,0,0,0,FALSE,32,22.8,22.8,11.9,2.5,177,1010.4,38.1,9.3,119.5,10.2,4,0.35,Partially cloudy,FALSE,Hot,No
66,3/6/2020,48.662801,61,32,4,6,,0.372338573,,,,,,,,,,,,,,,,,,,,,42.58,34.7,27.8,30.4,30.39859347,39.9,31.9,35.1,23.7,69,0.021,100,8.33,TRUE,33.8,23.7,23.7,13.5,4.2,197.4,1011.9,39.8,9.7,166.4,14.6,6,,"Rain, Partially cloudy",FALSE,hOt,
67,3/7/2020,46.898808,63,39,12,4,,0.635921574,,,,,,,,,,,,,,,,,,,,,9.17,34.5,26.2,29.7,29.68643526,40.9,26.2,34.1,24.1,72.9,0,0,0,FALSE,32.4,18.4,18.4,10.6,2.5,171.1,1011.9,40.5,9.7,156.4,13.3,6,0.42,Partially cloudy,TRUE,Hot,Yes
68,3/8/2020,45.174031,75,56,24,10,,0.149979312,,,,,,,,,,,,,,,,,,,,,3.98,36.2,27.7,30.8,30.80280438,43.8,32,36.4,24.4,70.3,0,0,0,,26.6,17,17,9.5,0.6,183,1009.4,36.5,9.9,119.2,10.2,4,0.45,Partially cloudy,TRUE,Hot,Yes
69,3/9/2020,46.29383,119,49,14,9,,0.496527846,,,,,,,,,,,,,,,,,,,,,22.61,38.2,27.2,31.4,31.40915599,42.1,30,34.5,21.4,60.9,0,0,0,FALSE,25.2,18.4,18.4,9.5,0.6,199.5,1007.3,33.1,9.8,120.9,10.3,,0.48,Partially cloudy,FALSE,hOt,No
70,3/10/2020,46.812401,107,54,14,10,,0.08390792,,,,,,,,,,,,,,,,,,,,,17.06,37.2,26.2,30.8,30.80422522,43.4,26.2,35.1,23.6,68.2,0,0,0,FALSE,31,18.4,18.4,9.9,0.9,181.8,1007.5,24.5,9.4,103.5,8.9,3,,,FALSE,Hot,No
71,3/11/2020,46.274144,111,44,8,6,,0.274581729,,,,,,,,,,,,,,,,,,,,,18.23,36.7,26,31,30.99277161,42.6,26,35.7,23.6,67.6,0,0,0,FALSE,29.9,16.7,16.7,9.2,1.6,175.8,1009.3,21.5,9.1,119.8,10.3,4,0.55,Partially cloudy,FALSE,Hot,No
72,3/12/2020,45.526364,94,37,6,5,,0.941449574,,,,,,,,,,,,,,,,,,,,,16.84,35.7,27.5,30.9,30.89368557,42.4,31.5,36.8,24.6,70.4,0,0,0,FALSE,40.7,21,21,12.3,1.5,186.2,1011,31.2,9.4,119.6,10.5,4,0.58,Partially cloudy,FALSE,Hot,No
73,3/13/2020,44.885356,80,35,7,5,,0.933218125,,,,,,,,,,,,,,,,,,,,,28.02,36.5,28,31.4,31.39731825,42.6,32.7,37.3,24.5,68.6,0,0,0,FALSE,28.4,19.4,19.4,12.9,2.5,188.4,1011.5,30.6,9.6,122.4,10.7,4,0.62,Partially cloudy,FALSE,Hot,
74,3/14/2020,43.124728,72,37,5,9,,0.624586743,,,,,,,,,,,,,,,,,,,,,10.93,36.2,28.6,31.4,31.40014652,44.5,33.9,38.3,25.2,71,0,0,0,FALSE,32.8,21.2,21.2,12.2,1.9,193.5,1009.9,31.6,9.6,114.6,10,4,0.65,Partially cloudy,TRUE,Hot,yES
75,3/15/2020,41.152252,81,57,12,15,,0.988658633,,,,,,,,,,,,,,,,,,,,,6.29,30,23,27,27.01375175,37.9,23,30.1,24.5,86.3,13.263,100,16.67,TRUE,68.9,45,45,9.6,0.9,174.4,1011.8,51.4,8.6,29,2.5,1,0.69,"Rain, Partially cloudy",TRUE,Hot,YeS
76,3/16/2020,41.618414,109,46,13,4,,0.925381212,,,,,,,,,,,,,,,,,,,,,14.01,33.2,23.7,28.3,28.31032327,39.5,23.7,31.5,23.6,77.3,0,0,0,,19.8,14.8,14.8,5.4,0.5,205.6,1012.1,39,7.3,89.4,7.9,3,0.75,Partially cloudy,FALSE,Hot,No
77,3/17/2020,42.036455,79,44,9,5,,0.743709377,,,,,,,,,,,,,,,,,,,,,16.33,33.7,27,29.9,29.89657949,41.7,30.6,35.6,24.9,75.5,0,0,0,FALSE,38.9,22.8,22.8,10.4,0.7,196.3,1012.1,39,9.4,87.3,7.4,,0.75,Partially cloudy,FALSE,Hot,No
78,3/18/2020,42.041867,84,40,11,5,,0.522311841,,,,,,,,,,,,,,,,,,,,,12.33,34.5,28,30.4,30.38491665,41.9,31.9,36.1,24.6,72,0,0,0,FALSE,29.9,22.8,22.8,13.6,3.7,185.8,1010.5,40.6,9.5,99.4,8.7,4,0.79,Partially cloudy,FALSE,hOT,No
79,3/19/2020,41.388889,75,36,11,5,,0.247450758,,,,,,,,,,,,,,,,,,,,,12.85,33.7,28,30.4,30.3942536,41.6,32.5,36.1,24.5,71.4,0,0,0,FALSE,39.6,24.6,24.6,15.7,3.2,185.1,1009.7,41.6,9.6,107.2,9.4,4,0.82,Partially cloudy,FALSE,Hot,No
80,3/20/2020,40.893102,75,35,13,5,,0.514606894,,,,,,,,,,,,,,,,,,,,,16.75,34,28,30.2,30.19393754,40.9,32.5,35.4,24.2,71.4,0,0,0,FALSE,39.6,26.4,26.4,13.7,1.7,180.9,1010.5,42.2,9.6,102,8.8,4,0.86,Partially cloudy,FALSE,Hot,No
81,3/21/2020,39.285958,79,29,13,5,,0.980990984,,,,,,,,,,,,,,,,,,,,,4.7,34.5,27.7,30.7,30.70268935,40.2,32,36.1,24.2,69.6,0,0,0,FALSE,37.8,23.2,23.2,13.5,1.8,188.4,1011.2,37.7,9.6,117.8,10.3,4.358607408,0.89,Partially cloudy,TRUE,,Yes
