model,cv_rmse,cv_std,selected
catboost,1.762246135153474,0.05856736280107534,True
xgboost,1.881340339620341,0.1043077517609268,True
gradient_boosting,1.8996989047869277,0.09424899468664515,True
lightgbm,2.10305007699914,0.11832737391555107,True
random_forest,2.6095028083355833,0.12488128766053885,True
extra_trees,2.721767605174958,0.14442151859629146,True
ridge,3.898462278794317,0.14423201207996705,True
lasso,4.194467011931698,0.18376640760533733,False
elastic_net,4.207163170361092,0.172896368014636,False
sequential_mlp,inf,0.0,False
sequential_svr,inf,0.0,False
sequential_rf,inf,0.0,False
advanced_mlp,inf,0.0,False
deep_mlp,inf,0.0,False
