model,cv_rmse,cv_std,selected
extra_trees,1.5917873171827674,0.059370850517824134,True
catboost,1.6831157223655169,0.1154553032211383,True
xgboost,1.8487794851786041,0.12055067409610895,True
lightgbm,1.8582302373609827,0.08025331635267179,True
random_forest,1.9805682477732336,0.05598701211669806,True
gradient_boosting,2.1159153941712168,0.0775530825698044,True
sequential_rf,3.2449351256514034,0.1032341614523693,True
ridge,3.8979024502311836,0.14443402713769282,False
advanced_mlp,3.9461087501570615,0.21092356642821672,False
lasso,4.191379386755562,0.1834632786989048,False
elastic_net,4.204215995251262,0.17185625965029097,False
sequential_mlp,7.112160654290954,0.33354568126003575,False
