iter	RMSE
228	1.080082472
229	1.076949337
230	1.07615589
231	1.073628091
232	1.071012393
233	1.068767337
234	1.066384961
235	1.064597344
236	1.057981415
237	1.054438135
238	1.052205232
239	1.04902022
240	1.04659342
241	1.04363056
242	1.04227581
243	1.039351755
244	1.036273284
245	1.031042381
246	1.028404956
247	1.026394717
248	1.024854715
249	1.022632628
250	1.018392369
251	1.015762827
252	1.013391896
253	1.010163186
254	1.00877029
255	1.007963806
256	1.006015107
257	1.002700798
258	1.000568273
259	0.9980071882
260	0.9962912991
261	0.9946169871
262	0.9920395375
263	0.9902729081
264	0.9871441601
265	0.9854425807
266	0.9834182468
267	0.9801875951
268	0.9777320242
269	0.9761453524
270	0.9704340986
271	0.9679658171
272	0.9650877605
273	0.9636359917
274	0.9612676515
275	0.9585519349
276	0.956655153
277	0.9547103268
278	0.9527699662
279	0.9513787729
280	0.946827445
281	0.9449060032
282	0.9427691058
283	0.9394544482
284	0.9372257598
285	0.933377293
286	0.9297903748
287	0.9264169109
288	0.9204245805
289	0.9190635188
290	0.9172678552
291	0.9150195474
292	0.913459929
293	0.9113282667
294	0.9078163628
295	0.9031285157
296	0.901413099
297	0.8996938422
298	0.8976596757
299	0.8955495208
300	0.8931809619
301	0.8904810135
302	0.8874185278
303	0.8855631255
304	0.8822545869
305	0.8802200149
306	0.8796161891
307	0.8773925979
308	0.875924012
309	0.8748200838
310	0.8725501894
311	0.8712758977
312	0.8697658373
313	0.8677569255
314	0.865908699
315	0.8638385382
316	0.8623200868
317	0.8609659409
318	0.8585148137
319	0.8572387635
320	0.8557052649
321	0.854073711
322	0.8499921108
323	0.8481641404
324	0.8455039601
325	0.843681834
326	0.8419241105
327	0.8409879571
328	0.8393059034
329	0.8365949281
330	0.8347669591
331	0.8311168735
332	0.829617819
333	0.8281084187
334	0.8261296062
335	0.8240715535
336	0.8219165951
337	0.8177916681
338	0.8160246782
339	0.8146980352
340	0.8127587493
341	0.8103970826
342	0.8072297247
343	0.804700482
344	0.8027493135
345	0.7991309185
346	0.7972869963
347	0.7948483656
348	0.7938309872
349	0.7921705769
350	0.7909736612
351	0.7885584604
352	0.787961043
353	0.7864931917
354	0.783803602
355	0.7828597181
356	0.7817057513
357	0.7803459877
358	0.7785974256
359	0.7766769372
360	0.7752274774
361	0.7728129364
362	0.7709237611
363	0.7676487571
364	0.7655302532
365	0.7636187641
366	0.7619224467
367	0.7597207272
368	0.7584803359
369	0.7554632282
370	0.7539077152
371	0.7515633949
372	0.7502214735
373	0.7484904733
374	0.7476423497
375	0.7463123428
376	0.7449131904
377	0.7434915735
378	0.7413646677
379	0.7407067988
380	0.7389771653
381	0.7373883193
382	0.7360729684
383	0.7339821115
384	0.7330912869
385	0.7316534778
386	0.7293898121
387	0.7279338898
388	0.7249108552
389	0.7228967109
390	0.721944783
391	0.7196566101
392	0.7169757031
393	0.7149326843
394	0.7136015067
395	0.7117710794
396	0.7094179444
397	0.7060295575
398	0.7045643945
399	0.7030626418
400	0.7020224274
401	0.6999308602
402	0.6977712406
403	0.6960110686
404	0.6948011194
405	0.6939453905
406	0.692482168
407	0.6909091618
408	0.6896304104
409	0.6884407306
410	0.6869968136
411	0.6852861978
412	0.6827570484
413	0.6809842777
414	0.6796557347
415	0.6789124862
416	0.6771697199
417	0.6752597843
418	0.6738649355
419	0.6725985177
420	0.6713529268
421	0.6686069766
422	0.6672290437
423	0.6641674913
424	0.6626222964
425	0.6608583141
426	0.6590390044
427	0.6576462314
428	0.65613918
429	0.655216479
430	0.654260481
431	0.652459688
432	0.6508695703
433	0.6494397686
434	0.6485801184
435	0.6471715714
436	0.6454987398
437	0.6450606291
438	0.6438441993
439	0.6421016185
440	0.6408687289
441	0.635357975
442	0.6333909011
443	0.6323593801
444	0.6289860421
445	0.6281545219
446	0.6273988714
447	0.6268313213
448	0.6248130169
449	0.6233051394
450	0.6209668207
451	0.6195563801
452	0.617860358
453	0.6163444517
454	0.6157372652
455	0.6136542253
456	0.612272741
457	0.6113774444
458	0.6105834937
459	0.609743086
460	0.6091061798
461	0.6080448657
462	0.606546923
463	0.6053160473
464	0.604065091
465	0.6019624691
466	0.6008768932
467	0.5993540547
468	0.5982934121
469	0.5961857567
470	0.5946868196
471	0.5937775605
472	0.5924512772
473	0.5905930271
474	0.5897730276
475	0.5888087098
476	0.5877983089
477	0.5872982185
478	0.5853893187
479	0.58377678
480	0.5829161266
481	0.5821748336
482	0.5808958612
483	0.5799959672
484	0.5788767494
485	0.5781838388
486	0.577314268
487	0.5758668738
488	0.5749962088
489	0.5732897894
490	0.5723247787
491	0.5714057715
492	0.5702503015
493	0.5692248397
494	0.5681885253
495	0.5667491624
496	0.5657562706
497	0.5643592248
498	0.563427817
499	0.5621454714
500	0.5614396246
501	0.5600343518
502	0.5588993692
503	0.5577595713
504	0.5555295908
505	0.5539576824
506	0.5532592361
507	0.5524321241
508	0.5512518507
509	0.5499156429
510	0.5490168388
511	0.5482857591
512	0.5475627618
513	0.5465236386
514	0.5454806054
515	0.5442998231
516	0.5432715647
517	0.5396835823
518	0.5391184773
519	0.538203832
520	0.5373837743
521	0.5364583117
522	0.5356316115
523	0.534015579
524	0.5330397197
525	0.5315935148
526	0.530966857
527	0.5298751318
528	0.5293993972
529	0.5280484484
530	0.5267849958
531	0.5261936993
532	0.5252333663
533	0.524155845
534	0.5228355036
535	0.5217149978
536	0.5204629422
537	0.5200355518
538	0.5196030217
539	0.5187745376
540	0.5171557888
541	0.5158281774
542	0.5145568758
543	0.5134883548
544	0.5116435012
545	0.5109524412
546	0.510047582
547	0.5087563018
548	0.5073837669
549	0.5060810385
550	0.5049398141
551	0.5038495757
552	0.5029940365
553	0.5015318977
554	0.5005410882
555	0.4996318317
556	0.4993240855
557	0.4980624647
558	0.4969884576
559	0.4960652617
560	0.4949613591
561	0.4941732665
562	0.4933968992
563	0.4923256227
564	0.490861613
565	0.4903559772
566	0.4896998663
567	0.4890408164
568	0.4883218011
569	0.4867771838
570	0.4851554914
571	0.4844922601
572	0.4832311709
573	0.4828247544
574	0.482146882
575	0.4810160625
576	0.4804498863
577	0.4791167869
578	0.4780442653
579	0.4771625377
580	0.4760956597
581	0.475138267
582	0.4739411301
583	0.4734873125
584	0.4728358014
585	0.4719647164
586	0.4710149302
587	0.469679407
588	0.4686777481
589	0.4673850378
590	0.4662503953
591	0.4626514651
592	0.4618285566
593	0.4609702325
594	0.4594759715
595	0.4579842837
596	0.4573423679
597	0.4558930707
598	0.4551218327
599	0.4528059772
600	0.4514776417
601	0.4506820926
602	0.4491309186
603	0.4482262885
604	0.4470873004
605	0.4453289006
606	0.4432236499
607	0.4422981702
608	0.4412365595
609	0.4405287329
610	0.4395207828
611	0.4390194431
612	0.4382178266
613	0.4365368863
614	0.4357900025
615	0.4348288066
616	0.4334633515
617	0.4317965059
618	0.4304755977
619	0.4290534057
620	0.4286829174
621	0.4276829855
622	0.426679575
623	0.4258209937
624	0.4250313712
625	0.4241816141
626	0.4233213342
627	0.4225858787
628	0.4215269127
629	0.4208246599
630	0.4203818505
631	0.419397339
632	0.4186555473
633	0.4176625658
634	0.4169644971
635	0.4160955221
636	0.4153395852
637	0.4145614349
638	0.4134810724
639	0.4129663822
640	0.412572857
641	0.4121125263
642	0.4111684744
643	0.4100429681
644	0.4090797283
645	0.4083497349
646	0.4068070942
647	0.4056831227
648	0.4051126801
649	0.40410712
650	0.4033639525
651	0.4025370605
652	0.4013765242
653	0.4008387608
654	0.3993624926
655	0.399125871
656	0.3985593781
657	0.3978166898
658	0.3972089489
659	0.3966245038
660	0.3959076792
661	0.3947205108
662	0.3942112713
663	0.3929771172
664	0.3925151114
665	0.3918158891
666	0.3903784454
667	0.3899965809
668	0.388830373
669	0.3879862395
670	0.3868905048
671	0.3863351508
672	0.3852014965
673	0.3841518032
674	0.3834971094
675	0.3823926005
676	0.3818033756
677	0.3810611824
678	0.3804970738
679	0.379375517
680	0.3786557224
681	0.3775884474
682	0.3765710353
683	0.3760801136
684	0.3751322715
685	0.3742551217
686	0.3736020956
687	0.3722629558
688	0.3713074317
689	0.3705459654
690	0.3685046241
691	0.367386217
692	0.3661573374
693	0.3654500793
694	0.3648499382
695	0.3631281318
696	0.3620118034
697	0.3603686047
698	0.3594567465
699	0.3583768932
700	0.3579900612
701	0.3565745313
702	0.3560035863
703	0.3554390173
704	0.3549357243
705	0.3541691408
706	0.3534035071
707	0.3529477283
708	0.3523587616
709	0.3517950298
710	0.3509980725
711	0.350453488
712	0.3493637077
713	0.3477450946
714	0.3469908725
715	0.3460793787
716	0.3456707261
717	0.3450542203
718	0.3446578452
719	0.3440272852
720	0.3432523927
721	0.3426741708
722	0.3417898408
723	0.3407445005
724	0.3401644429
725	0.3392703322
726	0.3386088245
727	0.3382949208
728	0.3376888321
729	0.336796055
730	0.3363209601
731	0.3356985246
732	0.3349499178
733	0.33398689
734	0.3330140518
735	0.3323276855
736	0.3315578237
737	0.3307652858
738	0.3298570171
739	0.3295189171
740	0.3288733247
741	0.32808949
742	0.327364466
743	0.3266212492
744	0.3260877408
745	0.3256098286
746	0.32479982
747	0.323847015
748	0.3230426971
749	0.322396347
750	0.3218955069
751	0.3214259954
752	0.3208476682
753	0.3203895981
754	0.319652732
755	0.3188762469
756	0.3185619485
757	0.3179135819
758	0.3174439133
759	0.3168103308
760	0.3157789924
761	0.3147430945
762	0.313836712
763	0.3129888583
764	0.3120366906
765	0.3114119532
766	0.3110200587
767	0.31004293
768	0.3092892947
769	0.3088011633
770	0.3080850863
771	0.30744851
772	0.3066378104
773	0.3061169066
774	0.3054555859
775	0.3050004239
776	0.3046105007
777	0.3039747755
778	0.3037600656
779	0.3031641415
780	0.3024835869
781	0.3014295603
782	0.3010016983
783	0.3005253743
784	0.2997510574
785	0.299580153
786	0.2986094349
787	0.298089165
788	0.2969961563
789	0.2964725617
790	0.2955174056
791	0.2953701662
792	0.2951638992
793	0.2944475894
794	0.2937680896
795	0.2931081904
796	0.2921530401
797	0.291710898
798	0.2911021825
799	0.2907150979
800	0.289852491
801	0.289100861
802	0.2885624149
803	0.2879725673
804	0.2870158969
805	0.2863945264
806	0.2861102269
807	0.2854384975
808	0.284779125
809	0.284616391
810	0.2841891937
811	0.2836833196
812	0.2827501043
813	0.2820730527
814	0.2813294704
815	0.2803865388
816	0.2795641686
817	0.2792072158
818	0.2785734506
819	0.2776560858
820	0.2774502683
821	0.2770501883
822	0.2763430223
823	0.2760905996
824	0.2755080647
825	0.2751898838
826	0.2747723536
827	0.2744875668
828	0.2740431258
829	0.2726811369
830	0.2721519645
831	0.2715555805
832	0.2707659555
833	0.2700217943
834	0.2693782831
835	0.2691646333
836	0.2681197327
837	0.2675666179
838	0.2670711073
839	0.266664416
840	0.2658938242
841	0.2653561734
842	0.2646008848
843	0.2637598467
844	0.2629346392
845	0.2624198943
846	0.2615130458
847	0.2611629506
848	0.2606728841
849	0.2603995032
850	0.2597503091
851	0.2595069831
852	0.2590859401
853	0.2585688706
854	0.2581948797
855	0.2579178152
856	0.2577787301
857	0.2570603632
858	0.2563734332
859	0.2556788539
860	0.2550692086
861	0.2549037039
862	0.2542672219
863	0.2536826268
864	0.2533302028
865	0.2529484198
866	0.2524170655
867	0.2516902556
868	0.2508906835
869	0.2506922593
870	0.2502761871
871	0.2496120048
872	0.2489922157
873	0.2483384951
874	0.2478813038
875	0.247546329
876	0.2470594824
877	0.2467608614
878	0.2465913141
879	0.2461767643
880	0.2454607858
881	0.2449358248
882	0.2445711337
883	0.2439682375
884	0.2437327935
885	0.243155273
886	0.2427380348
887	0.2420777823
888	0.2416131947
889	0.2412814322
890	0.2409843957
891	0.2402433991
892	0.2397179483
893	0.2393846195
894	0.2391377495
895	0.2387684406
896	0.2381607189
897	0.2376063384
898	0.2368284438
899	0.2363256626
900	0.23585083
901	0.2355621625
902	0.234882381
903	0.2346615266
904	0.2344750702
905	0.2340154581
906	0.2338175305
907	0.2334884508
908	0.2328854796
909	0.2320327065
910	0.231276666
911	0.2308771993
912	0.2305182882
913	0.2301270653
914	0.2296171844
915	0.2289957321
916	0.2281948629
917	0.2279223731
918	0.2275005945
919	0.2270588182
920	0.2265777187
921	0.2256752929
922	0.2252817926
923	0.2248491783
924	0.2242605675
925	0.2241157423
926	0.2235568251
927	0.2231994809
928	0.2227950894
929	0.222381214
930	0.222058813
931	0.2215643619
932	0.221115672
933	0.2202870956
934	0.2196687158
935	0.2190324522
936	0.2186077069
937	0.2180167114
938	0.2174432546
939	0.2171865882
940	0.2164126212
941	0.2158308079
942	0.215254425
943	0.2147602298
944	0.2141618422
945	0.2138476495
946	0.2133969136
947	0.2130154471
948	0.2126871723
949	0.2118950227
950	0.2114474435
951	0.2112491091
952	0.2106770511
953	0.2099775638
954	0.2094900316
955	0.209139253
956	0.2088265117
957	0.2085697259
958	0.2082133845
959	0.2078027626
960	0.2071789206
961	0.2066339961
962	0.2061444903
963	0.2055196217
964	0.205218007
965	0.2048381347
966	0.204317683
967	0.2039298832
968	0.2034921084
969	0.2033236625
970	0.2030220449
971	0.2026976638
972	0.2022392856
973	0.2017062721
974	0.2013361565
975	0.2007956446
976	0.2003303888
977	0.1998552937
978	0.1994476744
979	0.198889334
980	0.1985593173
981	0.1982500858
982	0.1977937024
983	0.1973813906
984	0.1967964234
985	0.1962876707
986	0.195800431
987	0.1951479052
988	0.1949014175
989	0.194607216
990	0.1942960632
991	0.1941016133
992	0.1935665736
993	0.1927682131
994	0.1924011467
995	0.1919263519
996	0.191313319
997	0.1906792533
998	0.1902312336
999	0.1897050789
